id;pseudo;mot_de_passe;date_inscription;est_administrateur
1;miserably belabor;toward including;2024-11-24T17:42:20;false
2;whenever violently;governance considerate funny;2024-11-24T15:11:42;false
3;customise;chow that that;2024-11-24T18:11:29;false
4;phew;jumbo;2024-11-25T06:24:44;false
5;arrogantly husband;webbed even;2024-11-25T03:17:29;false
6;wherever boohoo;popularize stock obesity;2024-11-24T18:37:51;true
7;fund frightfully;ouch owlishly;2024-11-24T23:04:06;true
8;zowie cardboard;friendly emboss keenly;2024-11-25T05:48:10;true
9;once up;interestingly polyester fooey;2024-11-25T00:17:58;true
10;gee;apropos;2024-11-25T08:18:03;true
